station,lat,lon,nearest_station,dis_from_nearest_station,capacity,station_number
George Mason High School / Haycock Rd & Leesburg Pike,38.89791221,-77.19197527,Meridian High School / Haycock Rd & Leesburg Pike,0.1766653926766382,12.0,32600
Rhode Island Ave & Montana Ave NE,38.92464016,-76.98553461,Rhode Island & Montana Ave NE,0.0484677306354971,19.0,31526
4th St & K St NW,38.90271749,-77.01624254,New Jersey Ave & K St NW,0.0391615748266453,23.0,31642
15th & Crystal Dr,38.86110213,-77.04940526,Crystal Dr & 15th St S,0.0048122032008722,16.0,31003
27th & Crystal Dr,38.84847088,-77.05152254,Crystal Dr & 27th St S,0.0005121277490918,12.0,31009
23rd & Crystal Dr,38.85295366,-77.04973292,Crystal Dr & 23rd St S,0.0022216100801293,17.0,31011
20th & Crystal Dr,38.85641928,-77.04923668,Crystal Dr & 20th St S,0.001263804512091,17.0,31002
USDA / 12th & Independence Ave SW,38.88748083,-77.02854154,USDA / 12th & C St SW,0.1358292728649694,39.0,31217
Fairfax Dr & Kenmore St,38.88462066,-77.1010711,GMU / Fairfax Dr & Kenmore St,0.0010132334149064,11.0,31040
34th St & Minnesota Ave SE,38.88396351,-76.95746285,37th & Ely Pl SE,0.67859529041095,15.0,31709
S George Mason Dr & 13th St S,38.85620493,-77.10020541,Columbia Pike & George Mason Dr,0.3800317200020601,15.0,31062
S Stafford & 34th St S,38.83411905,-77.08733393,Radford St & Osage St,0.6407622956429677,23.0,31064
Long Bridge Park/Long Bridge Dr & 6th St S,38.86560212,-77.05005109,Long Bridge Park / Long Bridge Dr & 6th St S,0.0044715515244972,15.0,31071
6th & S Ball St,38.84419431,-77.05135711,Potomac Ave & 35th St S,0.073495482322678,15.0,31090
Reston Station,38.94659312,-77.3394037,Wiehle Ave & Reston Station Blvd,0.0027291004356654,19.0,32215
Solutions & Greensboro Dr,38.92243488,-77.23034304,Greensboro & Pinnacle Dr,0.0029305878408775,13.0,32202
9th & F St NW / National Portrait Gallery,38.89747406,-77.02414335,7th & F St NW / National Portrait Gallery,0.1699814968732483,27.0,31232
8th & F St NW / National Portrait Gallery,38.89710512,-77.02311044,7th & F St NW / National Portrait Gallery,0.0820359927623734,27.0,31232
