X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.9783972766365,38.8657892191988,30218137,38.865784,-76.9784,Anacostia Library,classic,66,active,2022/04/16 04:39:42+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.971019813343,38.8730664156896,30218138,38.873057,-76.971015,Pennsylvania & Minnesota Ave SE,classic,67,active,2022/04/16 04:39:41+00,2,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9968095562695,38.8869609079637,30218139,38.886952,-76.996806,Eastern Market / 7th & North Carolina Ave SE,classic,68,active,2022/04/16 06:06:05+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0316931329347,38.8996404382794,30218140,38.899632,-77.031686,14th St & New York Ave NW,classic,69,active,2022/04/16 04:39:43+00,19,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9479799024819,38.8940119358908,30218141,38.894,-76.947974,Benning Branch Library,classic,70,active,2022/04/16 04:39:43+00,4,0,7,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0282409308572,38.8862819082222,30218142,38.886277,-77.028242,USDA / 12th & C St SW,classic,71,active,2022/04/16 04:39:43+00,22,0,15,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,39,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0591438551886,38.9023232653376,30218143,38.902314,-77.059142,Georgetown Harbor / 30th St NW,classic,72,active,2022/04/16 04:39:41+00,3,0,15,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9910175797516,38.9336778745621,30218144,38.933668,-76.991016,12th & Newton St NE,classic,73,active,2022/04/16 04:55:10+00,9,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0465844073074,38.8949240737255,30218145,38.894919,-77.046587,US Dept of State / Virginia Ave & 21st St NW,classic,74,active,2022/04/16 04:44:44+00,13,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0222474193209,38.8862741953204,30218146,38.886266,-77.022241,L'Enfant Plaza / 7th & C St SW,classic,75,active,2022/04/16 04:39:43+00,10,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
